INFO 2025-04-25 15:26:35,974 task_splitter 97859 133631488034368 Découpage du workflow 7506ec65-3093-4200-b0ae-2cd7313c0d4d de type TEXT_PROCESSING
INFO 2025-04-25 15:26:35,974 task_splitter 97859 133631488034368 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:26:35,974 task_splitter 97859 133631488034368 Mapped workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:26:35,976 task_splitter 97859 133631488034368 Début de la conteneurisation pour 2 tâches
INFO 2025-04-25 15:26:39,554 task_splitter 97859 133631488034368 Conteneurisation de 1 tâches feuilles
INFO 2025-04-25 15:26:39,555 task_splitter 97859 133631488034368 Conteneurisation de la tâche 81198971-c8fa-4c9f-81f5-c087248420c6, commande: process_text_batch
INFO 2025-04-25 15:26:47,217 task_splitter 97859 133631488034368 Tâche 81198971-c8fa-4c9f-81f5-c087248420c6 conteneurisée avec succès: docker.io/workflowmanager/text_processor:81198971c8fa
INFO 2025-04-25 15:26:47,218 task_splitter 97859 133631488034368 Conteneurisation terminée pour 1 tâches feuilles
INFO 2025-04-25 15:26:47,219 task_splitter 97859 133631488034368 Workflow 7506ec65-3093-4200-b0ae-2cd7313c0d4d découpé en 2 tâches et conteneurisé
INFO 2025-04-25 15:33:36,272 views 102070 124062466573888 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:33:36,289 task_splitter 102070 124062466573888 Découpage du workflow d1fe7e91-28e9-4aea-9909-25329881d02c de type TEXT_PROCESSING
INFO 2025-04-25 15:33:36,289 task_splitter 102070 124062466573888 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:33:36,289 task_splitter 102070 124062466573888 Mapped workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:33:36,294 task_splitter 102070 124062466573888 Début de la conteneurisation pour 2 tâches
INFO 2025-04-25 15:33:40,099 task_splitter 102070 124062466573888 Conteneurisation de 1 tâches feuilles
INFO 2025-04-25 15:33:40,099 task_splitter 102070 124062466573888 Conteneurisation de la tâche 9f7def5b-a766-4155-8146-bcde5cb1a82a, commande: process_text_batch
INFO 2025-04-25 15:35:10,942 task_splitter 102070 124062466573888 Tâche 9f7def5b-a766-4155-8146-bcde5cb1a82a conteneurisée avec succès: docker.io/patricehub/text_processor:9f7def5ba766
INFO 2025-04-25 15:35:10,942 task_splitter 102070 124062466573888 Conteneurisation terminée pour 1 tâches feuilles
INFO 2025-04-25 15:35:10,944 task_splitter 102070 124062466573888 Workflow d1fe7e91-28e9-4aea-9909-25329881d02c découpé en 2 tâches et conteneurisé
INFO 2025-04-25 15:51:52,000 views 109845 140140139775552 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:51:52,018 task_splitter 109845 140140139775552 Découpage du workflow 78694031-835f-47bb-96b3-c0679e9fa930 de type TEXT_PROCESSING
INFO 2025-04-25 15:51:52,018 task_splitter 109845 140140139775552 Original workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:51:52,019 task_splitter 109845 140140139775552 Mapped workflow type: TEXT_PROCESSING
INFO 2025-04-25 15:51:52,022 task_splitter 109845 140140139775552 Début de la conteneurisation pour 2 tâches
